year	value	annotation
1973	3153070
1974	1177851
1975	8723153
1976	9315761
1977	202590
1978	329699
1979	13077600
1980	1597088
1981	1074621
1982	1219922
1983	145822
1984	4663952
1985	732397
1986	1164962
1987	1547462
1988	852287
1989	11272320
1990	4977251	Oil Pollution Act of 1990
1991	92334
1992	118075
1993	69541
1994	69694
1995	125491
1996	219311
1997	22429
1998	56673
1999	8414
2000	608176
2001	125217
2002	4753
2003	4450
2004	636834
2005	2976
2006	4292
2007	46731
2008	1337
2009	14417
2010	421583
2011	1702
2012	1931
