year	value	annotation
1973	15106356
1974	15577588
1975	21403291
1976	18176163
1977	8046616
1978	10637093
1979	20356852
1980	12480667
1981	8674327
1982	9828912
1983	8272914
1984	17918172
1985	8313166
1986	4196378
1987	3546698
1988	6558331
1989	13471439
1990	7911989
1991	1873852
1992	1869791
1993	2042349
1994	2431372
1995	1091072
1996	3111064
1997	933358
1998	820290
1999	1160238
2000	1430233
2001	854363
2002	637676
2003	395381
2004	1416229
2005	9925573
2006	2834684
2007	701453
2008	753157 
2009	210406
2010	207711360	Deepwater Horizon
2011	209886
